eventDate,scientificName,scientificNameAuthorship,genericcolumn1,locality,associatedTaxa,recordedBy,associatedCollectors,samplingEffort,locationRemarks,occurrenceRemarks,genericcolumn2,substrate,habitat,individualCount,reproductiveCondition,cultivationStatus,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,minimumElevationInMeters,country,stateProvince,county,municipality,path,othercatalognumbers,County/State,Field identifications,collectionName,scientificName.1
2017-10-31,Quercus nigra,L.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, open, borders wetland, edge community, thicket, mesic","Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,edge forest/thicket, , Fruit/Seed Bearing,0,35.07704,-85.26839,8,176,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-1,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Symphyotrichum lateriflorum,(L.) A. Löve & D. Löve,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, open, borders wetland, edge community, thicket, mesic","Quercus nigra, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, ,only one seen at sight, ,wet soils,edge forest/thicket, ,Late Inflorescence,0,35.07704,-85.26839,8,176,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-2,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Smilax glauca,Walter,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, open, borders wetland, edge community, thicket, mesic","Quercus nigra, Symphyotrichum lateriflorum, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, ,small patch,,wet soils,edge forest/thicket, ,,0,35.07704,-85.26839,8,176,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-3,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Quercus phellos,L.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, open, borders wetland, edge community, thicket, mesic","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, ,biggest tree around , ,wet soils,edge forest/thicket, ,Fruit/Seed Bearing,0,35.07692,-85.2683,12,203,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-4,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Eunoymus hederaceus,,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, open, borders wetland, edge community, thicket, mesic","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, ,small population on water edge, ,wet soil,edge forest/thicket, ,Fruit/Seed Bearing,0,35.07704,-85.26839,8,176,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-5,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Andropogon glomeratus,"(Walter) Britton, Sterns & Poggenb.",,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, forested edge , edge of pond wetland, thicket composed of weedy trees and shrubs, approximately 100 yards from parking lot

","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga,,,,,edge of wetland,,,,35.07704,-85.26839,15,176,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-6,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Eupatorium capillifolium,(Lam.) Small,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, edge of wetland/moist soils","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga,,,,,edge of wetland,,,,35.07704,-85.26839,15,176,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-7,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Carya ovata,(P. Mill.) K. Koch,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, forested edge , edge of pond wetland, thicket composed of weedy trees and shrubs, approximately 100 yards from parking lot

","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,"thicket, forest", ,,0,35.07702,-85.26867,13,175,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-8,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Juniperus virginiana,L.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, forested edge , edge of pond wetland, thicket composed of weedy trees and shrubs, approximately 100 yards from parking lot

","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,"thicket, forest", , ,0,35.07702,-85.26867,13,175,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-9,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Phoradendron leucarpum,(Raf.) J.L. Reveal & M.C. Johnston,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, forested edge , edge of pond wetland, thicket composed of weedy trees and shrubs, approximately 100 yards from parking lot

","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,"thicket, forest", , ,0,35.07702,-85.26867,13,175,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-10,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Rosa palustris,Marsh.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, forested edge , edge of pond wetland, thicket composed of weedy trees and shrubs, approximately 100 yards from parking lot

","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,"thicket, forest", , Fuit/Seed Bearing,0,35.07702,-85.26867,13,175,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-11,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Fraxinus pennsylvanica,Marshall,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, edge of pond/wetland. approximately 40 feet from trail, no canopy cover, complete view of wetland
","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Eupatorium serotinum, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,open wetland, , Fruit/Seed Bearing,0,35.07713,-85.26881,7,181,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-12,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Eupatorium serotinum,Michx.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, edge of pond/wetland. surrounded by dishes and carex. approx 100 yards from trail
","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eleocharis obtusa, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,open wetland, , Late Inflorescence,0,35.0771,-85.26887,8,169,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-13,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Eleocharis obtusa,(Willd.) Schult.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, middle of pond/wetland. surrounded by dishes and carex. approx 100 yards from trail
","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Juncus spp.",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,open wetland, , Fruit/Seed Bearing,0,35.0771,-85.26887,8,169,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-14,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Juncus spp.,,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, middle of pond/wetland. surrounded by dishes and carex. approx 100 yards from trail
","Quercus nigra, Symphyotrichum lateriflorum, Smilax glauca, Quercus phellos, Eunoymus hederaceus, Andropogon glomeratus, Eupatorium capillifolium, Carya ovata, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa, Juniperus virginiana, Phoradendron leucarpum, Rosa palustris, Fraxinus pennsylvanica, Eupatorium serotinum, Eleocharis obtusa",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,open wetland, , ,0,35.0771,-85.26887,8,169,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'20-15,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Nelumbo lutea,Willd.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, middle of pond/wetland. surrounded by dishes and carex. approx 100 yards from trail
","Persicaria hydropiperoides, Alopecurus carolinianus, Morus rubra",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,open wetland, , ,0,35.0771,-85.26887,8,169,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'21-16,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Persicaria hydropiperoides,(Michx.) Small,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, edge of wetland/moist soils","Nelumbo lutea, Alopecurus carolinianus, Morus rubra",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,open wetland, , ,0,35.0771,-85.26887,8,169,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'21-17,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Alopecurus carolinianus,Walter,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, forested edge , edge of pond wetland, thicket composed of weedy trees and shrubs, approximately 100 yards from parking lot

","Nelumbo lutea, Persicaria hydropiperoides, Morus rubra",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,edge of wetland, , ,0,35.07708,-85.26881,6,177,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'21-18,,,Herbarium of the University of Tennessee at Chattanooga,
2017-10-31,Morus rubra,L.,,"US, Tennessee, Hamilton County, Chattanooga, Tennessee Riverwalk, edge of wetland","Nelumbo lutea, Persicaria hydropiperoides, Alopecurus carolinianus",Meg Miller,John Shelton,Wetland Species of Chattanooga, , , , ,thicketed forest, , ,0,35.07708,-85.26881,6,177,US,Tennessee,Hamilton County,Chattanooga,Tennessee Riverwalk,'21-19,,,Herbarium of the University of Tennessee at Chattanooga,
